Input a valid test file ending in .txt: 
token                 lexeme
----------------------------
keyword               integer    
identifier            x          
operator              =          
integer               14         
separator             ;          
keyword               while      
separator             (          
identifier            x          
operator              <          
integer               20         
separator             )          
separator             {          
identifier            x          
operator              =          
identifier            x          
operator              +          
integer               1          
separator             ;          
separator             }          
identifier            x          
operator              =          
identifier            x          
operator              -          
integer               2          
separator             ;          
identifier            x          
operator              *          
integer               7          
separator             ;          
keyword               put        
separator             (          
identifier            x          
separator             )          
separator             ;          
keyword               integer    
identifier            money      
operator              =          
identifier            x          
keyword               return     
identifier            money      
separator             ;          
